date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-04-29,291.53,294.88,290.41,293.21,268.08239198760435,118066585,0.0000,1.0
2020-04-30,291.71,293.32,288.59,290.48,265.58634843477137,121537052,0.0000,1.0
2020-05-01,285.31,290.66,281.52,282.79,258.5553686101246,125045778,0.0000,1.0
2020-05-04,280.74,283.9,279.13,283.57,259.268523910934,80462952,0.0000,1.0
2020-05-05,286.64,289.25,283.71,286.19,261.6639942803195,79199214,0.0000,1.0
2020-05-06,288.04,288.46,283.78,284.25,259.890249044973,72980387,0.0000,1.0
2020-05-07,287.75,289.78,287.13,287.68,263.0263037651991,74788296,0.0000,1.0
2020-05-08,291.09,292.95,289.86,292.44,267.378379703472,76446082,0.0000,1.0
2020-05-11,290.34,294.0,289.88,292.5,267.4332378035342,78982891,0.0000,1.0
2020-05-12,293.79,294.24,286.52,286.67,262.10285908081767,94484342,0.0000,1.0
2020-05-13,286.06,287.19,278.96,281.6,257.4673496255564,144035915,0.0000,1.0
2020-05-14,278.95,285.11,272.99,284.97,260.5485462457202,121473094,0.0000,1.0
2020-05-15,282.37,286.33,281.34,286.28,261.7462814304129,111015834,0.0000,1.0
2020-05-18,293.05,296.75,292.7,295.0,269.7189919727952,119719465,0.0000,1.0
2020-05-19,294.35,296.21,291.95,291.97,266.94865791965094,94317356,0.0000,1.0
2020-05-20,295.82,297.87,295.57,296.93,271.4835941914647,85279592,0.0000,1.0
2020-05-21,296.79,297.67,293.69,294.88,269.6092757726707,77863922,0.0000,1.0
2020-05-22,294.57,295.63,293.22,295.44,270.12128470658513,63697627,0.0000,1.0
2020-05-26,301.93,302.19,295.46,299.08,273.44934277702913,88604807,0.0000,1.0
2020-05-27,302.12,303.57,296.87,303.53,277.5179851983136,104086252,0.0000,1.0
2020-05-28,304.65,306.84,302.24,302.97,277.00597626439924,90232213,0.0000,1.0
2020-05-29,302.46,304.96,299.47,304.32,278.2402835158001,119067393,0.0000,1.0
2020-06-01,303.62,306.21,303.06,305.55,279.3648745670765,55696013,0.0000,1.0
2020-06-02,306.55,308.13,305.1,308.08,281.67805778636864,73635043,0.0000,1.0
2020-06-03,310.24,313.22,309.94,312.18,285.4266946239566,91750087,0.0000,1.0
2020-06-04,311.11,313.0,309.08,311.36,284.67696725643907,75471787,0.0000,1.0
2020-06-05,317.23,321.27,317.16,319.34,291.97309456472004,150302461,0.0000,1.0
2020-06-08,320.22,323.41,319.63,323.2,295.50229900205903,73310274,0.0000,1.0
2020-06-09,320.3,323.28,319.36,320.79,293.29883198289144,77174695,0.0000,1.0
2020-06-10,321.42,322.39,318.22,319.0,291.6622319977006,93944722,0.0000,1.0
2020-06-11,311.46,312.15,300.01,300.61,274.8482243286169,208285190,0.0000,1.0
2020-06-12,308.24,309.08,298.6,304.21,278.13971033235265,194450402,0.0000,1.0
2020-06-15,298.02,308.28,296.74,307.05,280.7363270686331,134968796,0.0000,1.0
2020-06-16,315.48,315.64,307.67,312.96,286.13984992476605,137048347,0.0000,1.0
2020-06-17,314.07,314.39,310.86,311.66,284.9512577567504,82814592,0.0000,1.0
2020-06-18,310.01,312.3,309.51,311.78,285.0609739568749,80355844,0.0000,1.0
2020-06-19,314.17,314.38,306.53,308.64,283.4392240593708,135211345,1.3662,1.0
2020-06-22,307.99,311.05,306.75,310.62,285.2575550068746,74007212,0.0000,1.0
2020-06-23,313.49,314.5,311.61,312.05,286.5707940245162,68066900,0.0000,1.0
2020-06-24,309.84,310.51,302.1,304.09,279.26073627596577,132067392,0.0000,1.0
2020-06-25,303.47,307.64,301.28,307.35,282.2545538966033,88966079,0.0000,1.0
2020-06-26,306.16,306.39,299.42,300.05,275.55060646388745,127811745,0.0000,1.0
2020-06-29,301.41,304.61,298.93,304.46,279.6005253924185,79773260,0.0000,1.0
2020-06-30,303.99,310.2,303.82,308.36,283.18208634962286,112828251,0.0000,1.0
2020-07-01,309.57,311.89,309.07,310.52,285.165720110536,71910372,0.0000,1.0
2020-07-02,314.24,315.7,311.51,312.23,286.73609683792563,69214995,0.0000,1.0
2020-07-06,316.37,317.68,315.56,317.05,291.1625388414448,61149258,0.0000,1.0
2020-07-07,315.38,317.52,313.37,313.78,288.1595377311735,82583406,0.0000,1.0
2020-07-08,314.61,316.3,312.7,316.18,290.36357524329924,54202602,0.0000,1.0
2020-07-09,316.84,317.1,310.68,314.38,288.7105471092049,83079092,0.0000,1.0
2020-07-10,314.31,317.88,312.76,317.59,291.6584472816731,57454436,0.0000,1.0
2020-07-13,320.13,322.71,314.13,314.84,289.13298763236236,102549097,0.0000,1.0
2020-07-14,313.3,319.76,312.0,318.92,292.87985140297616,92791839,0.0000,1.0
2020-07-15,322.41,323.04,319.27,321.85,295.5706138656963,86921534,0.0000,1.0
2020-07-16,319.79,321.28,319.09,320.79,294.59716396450744,54433414,0.0000,1.0
2020-07-17,321.88,322.57,319.74,321.72,295.4512285004562,64421802,0.0000,1.0
2020-07-20,321.43,325.13,320.62,324.32,297.83893580525904,56150230,0.0000,1.0
2020-07-21,326.45,326.93,323.94,325.01,298.4725965899952,57245315,0.0000,1.0
2020-07-22,324.62,327.2,324.5,326.86,300.1715421722588,57792915,0.0000,1.0
2020-07-23,326.47,327.23,321.48,322.96,296.5899812150544,75737989,0.0000,1.0
2020-07-24,320.95,321.99,319.246,320.88,294.67981537121216,73766597,0.0000,1.0
2020-07-27,321.63,323.41,320.775,323.22,296.82875194553475,48292970,0.0000,1.0
2020-07-28,322.43,323.64,320.85,321.17,294.94613657059404,57494979,0.0000,1.0
2020-07-29,322.12,325.73,322.075,325.12,298.57361497596764,48454159,0.0000,1.0
2020-07-30,321.9,324.41,319.64,323.96,297.5083301784402,61861714,0.0000,1.0
2020-07-31,325.9,326.63,321.33,326.52,299.8593035247076,85210755,0.0000,1.0
2020-08-03,328.32,329.62,327.73,328.79,301.94395567159324,53077948,0.0000,1.0
2020-08-04,327.86,330.06,327.86,330.06,303.11025885509315,41917893,0.0000,1.0
2020-08-05,331.47,332.39,331.18,332.11,304.99287423003386,42866354,0.0000,1.0
2020-08-06,331.4799,334.46,331.13,334.33,307.0316089287502,43679447,0.0000,1.0
2020-08-07,333.28,334.88,332.3,334.57,307.2520126799628,57308270,0.0000,1.0
2020-08-10,335.06,335.77,332.955,335.57,308.1703616433485,44282089,0.0000,1.0
2020-08-11,336.85,337.54,332.01,332.8,305.62653501477,69601087,0.0000,1.0
2020-08-12,335.44,338.28,332.8377,337.44,309.8876742048798,53826128,0.0000,1.0
